[-0.9999950651899903, -0.0004999991775298122]
[-0.9999802606662521, -0.000999993420162789]
[-0.9999555861476465, -0.0014999777926235352]
[-0.9999210411655767, -0.0019999473588794598]
[-0.9998766250639383, -0.0024998971817619836]
[-0.9998223369990505, -0.002999822322587512]
[-0.9997581759395695, -0.0034997178407780933]
[-0.9996841406663796, -0.003999578793481694]
[-0.999600229772465, -0.004499400235191999]
[-0.999506441662764, -0.004999177217367665]
[-0.9994027745540021, -0.005498904788050952]
[-0.999289226474504, -0.005998577991485642]
[-0.999165795263989, -0.0064981918677341835]
[-0.9990324785733428, -0.006997741452293964]
[-0.9988892738643727, -0.007497221775712638]
[-0.9987361784095407, -0.007996627863202438]
[-0.9985731892916772, -0.008495954734253366]
[-0.9984003034036747, -0.008995197402245225]
[-0.9982175174481613, -0.009494350874058345]
[-0.9980248279371532, -0.00999341014968299]
[-0.9978222311916876, -0.010492370221827318]
[-0.9976097233414354, -0.010991226075523827]
[-0.9973873003242921, -0.011489972687734199]
[-0.9971549578859494, -0.011988605026952457]
[-0.9969126915794446, -0.012487118052806367]
[-0.9966604967646905, -0.012985506715656955]
[-0.9963983686079835, -0.013483765956196107]
[-0.9961263020814902, -0.013981890705042127]
[-0.9958442919627141, -0.01447987588233318]
[-0.9955523328339391, -0.01497771639731852]
[-0.9952504190816526, -0.01547540714794743]
[-0.9949385448959467, -0.01597294302045576]
[-0.9946167042698976, -0.01647031888894999]
[-0.9942848909989218, -0.016967529614988736]
[-0.9939430986801125, -0.017464570047161544]
[-0.9935913207115517, -0.01796143502066498]
[-0.9932295502915993, -0.01845811935687579]
[-0.9928577804181618, -0.01895461786292115]
[-0.992476003887936, -0.01945092533124588]
[-0.9920842132956303, -0.019947036539176406]
[-0.9916824010331629, -0.020442946248481596]
[-0.9912705592888357, -0.02093864920493011]
[-0.9908486800464853, -0.021434140137844386]
[-0.9904167550846096, -0.02192941375965098]
[-0.98997477597547, -0.022424464765427244]
[-0.989522734084169, -0.02291928783244428]
[-0.989060620567704, -0.023413877619705904]
[-0.9885884263739954, -0.02390822876748367]
[-0.9881061422408887, -0.02440233589684774]
[-0.9876137586951332, -0.024896193609193505]
[-0.9871112660513335, -0.025389796485763883]
[-0.9865986544108738, -0.025883139087167106]
[-0.9860759136608186, -0.026376215952889963]
[-0.9855430334727844, -0.02686902160080625]
[-0.9850000033017864, -0.027361550526680423]
[-0.9844468123850553, -0.027853797203666285]
[-0.9838834497408283, -0.028345756081800545]
[-0.9833099041671128, -0.028837421587491124]
[-0.9827261642404197, -0.029328788123000153]
[-0.9821322183144697, -0.029819850065921416]
[-0.9815280545188695, -0.030310601768652166]
[-0.9809136607577593, -0.030801037557859134]
[-0.9802890247084305, -0.03129115173393865]
[-0.9796541338199125, -0.031780938570470624]
[-0.9790089753115293, -0.032270392313666345]
[-0.9783535361714261, -0.03275950718180993]
[-0.9776878031550624, -0.03324827736469311]
[-0.9770117627836749, -0.03373669702304342]
[-0.9763254013427073, -0.034224760287945584]
[-0.9756287048802081, -0.034712461260255685]
[-0.9749216592051945, -0.035199794010008355]
[-0.9742042498859812, -0.035686752575816466]
[-0.9734764622484788, -0.03617333096426331]
[-0.9727382813744534, -0.036659523149287075]
[-0.971989692099753, -0.03714532307155743]
[-0.9712306790124982, -0.03763072463784396]
[-0.9704612264512352, -0.03811572172037643]
[-0.9696813185030543, -0.03860030815619642]
[-0.9688909390016675, -0.039084477746500444]
[-0.9680900715254513, -0.03956822425597409]
[-0.9672786993954493, -0.04005154141211712]
[-0.9664568056733354, -0.040534422904559234]
[-0.9656243731593368, -0.04101686238436635]
[-0.9647813843901181, -0.04149885346333715]
[-0.9639278216366225, -0.04198038971328961]
[-0.9630636669018716, -0.04246146466533744]
[-0.9621889019187221, -0.042942071809155956]
[-0.9613035081475808, -0.04342220459223738]
[-0.960407466774073, -0.0439018564191352]
[-0.9595007587066683, -0.04438102065069729]
[-0.9585833645742599, -0.0448596906032876]
[-0.9576552647236969, -0.045337859547996295]
[-0.9567164392172702, -0.04581552070983763]
[-0.9557668678301505, -0.04629266726693586]
[-0.9548065300477767, -0.0467692923496984]
[-0.9538354050631949, -0.04724538903997628]
[-0.9528534717743464, -0.04772095037021135]
[-0.9518607087813051, -0.048195969322570184]
[-0.9508570943834611, -0.04867043882806404]
[-0.9498426065766511, -0.04914435176565493]
[-0.9488172230502356, -0.04961770096134719]
[-0.9477809211841184, -0.05009047918726428]
[-0.9467336780457111, -0.05056267916071051]
[-0.9456754703868401, -0.05103429354321737]
[-0.9446062746405937, -0.05150531493957396]
